reason_code,recorded_inr,recorded_n,restated_inr,restated_n,delta_inr,recorded_pct,restated_pct
GW-OTHER,2907036.0,991,230392.0,65,-2676644.0,43.3,3.4
RETURN-QC-OK,1181386.0,452,2184669.0,797,1003283.0,17.6,32.6
DUP-PAYMENT,884586.0,321,1375566.0,511,490980.0,13.2,20.5
CANCEL,612950.0,222,968908.0,343,355958.0,9.1,14.4
DOA-REPL,471190.0,147,356813.0,119,-114377.0,7.0,5.3
WTY-BUYBACK,289154.0,89,802916.0,247,513762.0,4.3,12.0
PRICE-ADJ,207073.0,71,277431.0,106,70358.0,3.1,4.1
LOST-TRANSIT,156557.0,47,513237.0,152,356680.0,2.3,7.6
